source,target,time
1,2,2023-01-01
1,3,2023-01-01
1,4,2023-01-01
1,5,2023-01-01
1,6,2023-01-01
1,7,2023-01-01
1,8,2023-01-01
1,9,2023-01-01
1,11,2023-01-01
1,12,2023-01-01
1,13,2023-01-01
1,14,2023-01-01
1,18,2023-01-01
1,20,2023-01-01
1,22,2023-01-01
1,32,2023-01-01
2,3,2023-01-01
2,4,2023-01-01
2,8,2023-01-01
2,14,2023-01-01
2,18,2023-01-01
2,20,2023-01-01
2,22,2023-01-01
2,31,2023-01-01
3,4,2023-01-01
3,8,2023-01-01
3,9,2023-01-01
3,10,2023-01-01
3,14,2023-01-01
3,28,2023-01-01
3,29,2023-01-01
3,33,2023-01-01
4,8,2023-01-01
4,13,2023-01-01
4,14,2023-01-01
5,7,2023-01-01
5,11,2023-01-01
6,7,2023-01-01
6,11,2023-01-01
6,17,2023-01-01
7,17,2023-01-01
9,31,2023-01-01
9,33,2023-01-01
9,34,2023-01-01
10,34,2023-01-01
14,34,2023-01-01
15,33,2023-01-01
15,34,2023-01-01
16,33,2023-01-01
16,34,2023-01-01
19,33,2023-01-01
19,34,2023-01-01
20,34,2023-01-01
21,33,2023-01-01
21,34,2023-01-01
23,33,2023-01-01
23,34,2023-01-01
24,26,2023-01-01
24,28,2023-01-01
24,30,2023-01-01
24,33,2023-01-01
24,34,2023-01-01
25,26,2023-01-01
25,28,2023-01-01
25,32,2023-01-01
26,32,2023-01-01
27,30,2023-01-01
27,34,2023-01-01
28,34,2023-01-01
29,32,2023-01-01
29,34,2023-01-01
30,33,2023-01-01
30,34,2023-01-01
31,33,2023-01-01
31,34,2023-01-01
32,33,2023-01-01
32,34,2023-01-01
33,34,2023-01-01
